actor_id,name
1883517,Peter Bonilla
125459,Harry Secombe
133099,Josef Swickard
154158,Wesley Thompson
1744145,Louis Ortiz
512991,Richard Madden
16459,John McConnell
1281473,Curtis Lindersmith
1532954,Carole Morison
135420,Deborah Findlay
3493,Evan Parke
1163721,Marideth Sisco
1547893,Jess Radomska
553763,Victor A. Haddox
140250,Tom Everett
1502207,Sean Goulding
1283061,John Hocker
1416557,Michael William Freeman
1572986,Rory Griffin
1661598,Kevin Bogue
1093065,Toshio Takahara
102777,Mel Fair
1468612,Elias Garza
555224,Grace Thibodeaux
1722548,Andrea Avery
1288818,Alexandre Montez
1293297,Brenda Braxton
33181,Jimmy Smits
1099854,Kimo Keoke
1272991,Nikka Far
1420715,Greta Onieogou
12056,Hawthorne James
1748638,Erick Kaffka
19212,Russell Sams
1849276,Kathleen Monica
87951,Alexander Chaplin
27516,Bobby Di Cicco
1387016,Ilian Bergala
1214402,Brian Turk
1126417,Arturo del Puerto
564888,Lamont Van Hook
29462,David Nerman
45404,Elise Muller
69189,Esmeralda Ouertani
59178,Maria Konstadarou
1260782,Kevin Hanchard
1743506,Tai Yin Chan
154228,Bari K. Willerford
553358,Deryle J. Lujan
1403165,Earl T. Taylor
1209703,Robert Berkman
1212743,Kenneth Kimmins
1110812,Chris Proctor
169653,Luke Massy
205258,Harry Lloyd
129345,Alan Talbot
180408,Jill Latiano
1594648,Calvin Finlayson
1765441,Kevin Kinkade
123382,Junya Usami
1435161,Ot Palapoo
1300214,Donita Sparks
6753,Reathel Bean
433243,Dominique Saldaña
938683,Will Carlough
205222,Mark Wakeling
27972,Josh Hutcherson
163439,Sarah Ann Morris
74490,Ursula Brooks
9236,Giorgio Cantarini
75491,Catherine Lambert
51036,Louis Ferreira
1793284,Alexandra Nye
1883083,Cara D. Briggs
1161589,Camille Branton
143204,Jan Hoag
2608,Lebo Mashile
1883509,Matt Doyle
2064,"Morton Downey, Jr."
1531529,Rex Reddick
66661,Ron Fassler
1584161,Taro Ibuki
1708713,Brigitta Lauren
1748228,Shelly Benedict
1712,Damian O'Hare
62417,Richard Ng
1741976,Kris Reilly
1689296,Wendy Turner-Low
77255,Murray Moston
59544,Melanie Lewis
85414,Hugh Daly
1208967,Matthew O'Neill
12211,Garry McDonald
1753539,Donna Glee Reim
9071,Billie Burke
1674904,Amy Whitmore
1141723,Bryce Walters
1434487,Anna Sawai
1420629,Dominick Mancino
1454319,Mike Catapano
1172491,Claire Julien
62550,Marybeth Fisher
1661591,Cherylyn Jones
131,Jake Gyllenhaal
1321206,Sandy Foster
1643598,Kimberly Dorsey
1391414,Jayd Johnson
572,Hanno Pöschl
1204830,Allie Braun
105496,Neil Napier
93177,Lee Ross
124645,Chad L. Coleman
1024027,Jeremy Karson
1777736,Youlanda Davis
1180696,Beck Bennett
565503,Cameron M. Brown
55541,Eddie Cibrian
1376059,Daniel Gullahorn
1549301,LaTanya Richardson Jackson
1794930,James Espinoza
146281,Susie Cusack
91490,Kristopher Steele
1234009,Bradford English
77899,Harris Allan
61066,Trio Los Rivera
103753,William Newell
135799,Chris WIllis
3372,Philip Winter
1711693,DeWayne Calhoun
1468838,Inez Hatchett
119576,Shane McCamey
1500435,Andreas Berg
1665007,Joe Fidler
76022,Patrick Brennan
1428209,Eugene F. Crededio
77587,Frank Roman
1413586,Suzanne Ridgeway
1784662,Barrett Perlman
77886,Plácido Domingo
1430996,Jennifer Jaffe
1133849,Vibish Sivakumar
1504900,Sarah Backhouse
933049,Sarah Finigan
122546,Al Palagonia
1759636,Brittany O'Connor
238896,Carter Wong
1448156,Blondie Chaplin
1821650,Xolani Mali
1049795,Camille Balsamo
158105,Neriah Davis
1720441,Robert Mendelson
31402,Manu Fullola
107770,B. J. Novak
76099,David Gore
1307751,Chris Jackson
131561,Wallace Merck
18915,Catherine Schell
267,Gerardo Campbell
1495604,Mariola Jaworska
76679,James Cowans
50175,Patrick Rapold
1280530,Jordan Ashton
164099,Susan Porro
36556,Tristan Taormino
1781337,Rasheed Wallace
12829,Richard LeParmentier
81688,Scott Winters
82508,Kiyoshi Kobayashi
1671203,Jordyn A. Davis
1798539,Lettie Ibarra
16171,Phoebe Cates
1780236,Allyson Leigh Jordan
20652,Cecilia Cheung
1096518,Terri Abney
17628,Mary Elizabeth Winstead
26861,Andrew Wilde
1470965,Nick Basta
56618,Brian Murray
1883091,Christina Frankenfield
1378202,Ken Fritz
1576483,Thomas W. Stewart
29837,Aleksei Maklakov
60830,Hannu-Pekka Parviainen
1520272,Paul Hatter
13310,Willard E. Pugh
1205138,Rachel Mower
54732,Pamella D'Pella
2458,Foster
1294155,Rebecca Eady
1754377,Dallas Wade
29795,Jack Plotnick
8434,Cindy Williams
939074,Anthony Pietsch
1279102,David Clyde Carr
62491,Woody Naismith
43432,Tane McClure
168246,Donald Li
1378610,Marilyn Giacomazzi
1748622,Kelsey Chace
119811,G. Michael Gray
3627,Paz Vega
61404,Dallas McKinney
1741969,Stephen Belyeu
57328,Barry W. Blaustein
1708423,Frank Jones Jr.
